0,1,0,0,0,0,0,0,,,
10,1,0,0,0,0,0,0,,,
20,1,0,0,0,0,0,0,,,
30,1,0,0,0,0,0,0,,,
40,1,0,0,0,0,0,0,,,
50,1,0,0,0,0,0,0,,,
60,1,0,0,0,0,0,0,,,
70,1,0,0,0,0,0,0,,,
80,1,0,0,0,0,0,0,,,
90,1,0,0,0,0,0,0,,,
100,1,0,0,0,0,0,0,,,
110,1,0,0,0,0,0,0,,,
120,1,0,0,0,0,0,0,,,
130,1,0,0,0,0,0,0,,,
140,1,0,0,0,0,0,0,,,
150,1,0,0,0,0,0,0,,,
160,1,0,0,0,0,0,0,,,
170,1,0,0,0,0,0,0,,,
180,1,0,0,0,0,0,0,,,
190,1,0,0,0,0,0,0,,,
200,1,0,0,0,0,0,0,,,
210,1,0,0,0,0,0,0,,,
220,1,0,0,0,0,0,0,,,
230,1,0,0,0,0,0,0,,,
240,1,0,0,0,0,0,0,,,
250,1,0,0,0,0,0,0,,,
260,1,0,0,0,0,0,0,,,
270,1,0,0,0,0,0,0,,,
280,1,0,0,0,0,0,0,,,
290,1,0,0,0,0,0,0,,,
300,1,0,0,0,0,0,0,,,
310,1,0,0,0,0,0,0,,,
320,1,0,0,0,0,0,0,,,
330,1,0,0,0,0,0,0,,,
340,1,0,0,0,0,0,0,,,
350,1,0,0,0,0,0,0,,,
360,1,0,0,0,0,0,0,,,
370,1,0,0,0,0,0,0,,,
380,1,0,0,0,0,0,0,,,
390,1,0,0,0,0,0,0,,,
400,1,0,0,0,0,0,0,,,
410,1,0,0,0,0,0,0,,,
420,1,0,0,0,0,0,0,,,
430,1,0,0,0,0,0,0,,,
440,1,0,0,0,0,0,0,,,
450,1,0,0,0,0,0,0,,,
460,1,0,0,0,0,0,0,,,
470,1,0,0,0,0,0,0,,,
480,1,0,0,0,0,0,0,,,
490,1,0,0,0,0,0,0,,,
500,1,0,0,0,0,0,0,,,
510,1,0,0,0,0,0,0,,,
520,1,0,0,0,0,0,0,,,
530,1,0,0,0,0,0,0,,,
540,1,0,0,0,0,0,0,,,
550,1,0,0,0,0,0,0,,,
560,1,0,0,0,0,0,0,,,
570,1,0,0,0,0,0,0,,,
580,1,0,0,0,0,0,0,,,
590,1,0,0,0,0,0,0,,,
600,2223,0.0513292333,0.00634032,59756544,1164181504,180410,28454400,,,0.0330011501578868
610,2223,0.05037576,0.0063118534,58646528,1164181504,179600,28454400,,,
620,2223,0.0497864361,0.00629639,57960448,1164181504,179160,28454400,,,
630,2223,0.0493325687,0.006281981,57432064,1164181504,178750,28454400,,,
640,2223,0.0481530413,0.0062222363,56058880,1164181504,177050,28454400,,,
650,2223,0.0477361166,0.00620361,55573504,1164181504,176520,28454400,,,
660,2223,0.0471133683,0.0061874438,54848512,1164181504,176060,28454400,,,
670,2223,0.0463894675,0.0061579229,54005760,1164181504,175220,28454400,,,
680,2223,0.0460974443,0.0061473797,53665792,1164181504,174920,28454400,,,
690,2223,0.0458590759,0.006139648,53388288,1164181504,174700,28454400,,,
